VisTrialDirection,VisCoherence,AudTrialDirection,AudCoherence,UserInput
1,0.05,NA,NA,1
1,0,NA,NA,1
-1,0.1,NA,NA,1
-1,0,NA,NA,1
-1,0.4,NA,NA,-1
-1,0.05,NA,NA,-1
-1,0.2,NA,NA,-1
1,0.2,NA,NA,1
-1,0.2,NA,NA,-1
-1,0.2,NA,NA,1
1,0.1,NA,NA,1
1,0.2,NA,NA,1
1,0,NA,NA,-1
-1,0.05,NA,NA,1
1,0.2,NA,NA,1
1,0,NA,NA,-1
-1,0.05,NA,NA,-1
-1,0.05,NA,NA,1
1,0.1,NA,NA,1
1,0,NA,NA,1
-1,0,NA,NA,1
1,0.05,NA,NA,1
1,0.1,NA,NA,1
1,0.1,NA,NA,1
1,0.1,NA,NA,1
-1,0.2,NA,NA,-1
1,0,NA,NA,1
1,0.4,NA,NA,1
1,0.1,NA,NA,1
1,0.05,NA,NA,-1
-1,0.05,NA,NA,-1
1,0.1,NA,NA,1
-1,0.05,NA,NA,-1
-1,0.1,NA,NA,-1
1,0.05,NA,NA,1
-1,0,NA,NA,-1
1,0.1,NA,NA,-1
1,0.2,NA,NA,1
1,0.2,NA,NA,1
-1,0.4,NA,NA,-1
-1,0.05,NA,NA,-1
1,0.1,NA,NA,1
-1,0.1,NA,NA,-1
1,0.4,NA,NA,1
1,0.1,NA,NA,-1
1,0.1,NA,NA,1
-1,0.2,NA,NA,-1
1,0.05,NA,NA,1
1,0.4,NA,NA,1
-1,0.05,NA,NA,-1
-1,0.05,NA,NA,-1
-1,0.2,NA,NA,-1
1,0.05,NA,NA,-1
1,0.4,NA,NA,1
-1,0,NA,NA,1
-1,0.2,NA,NA,-1
-1,0.1,NA,NA,-1
1,0.05,NA,NA,-1
1,0.05,NA,NA,-1
-1,0,NA,NA,-1
-1,0.1,NA,NA,-1
-1,0.1,NA,NA,-1
1,0.4,NA,NA,1
-1,0.4,NA,NA,1
1,0.4,NA,NA,1
-1,0.2,NA,NA,-1
1,0.4,NA,NA,1
1,0.05,NA,NA,-1
1,0.2,NA,NA,1
1,0.2,NA,NA,1
-1,0.2,NA,NA,-1
1,0.1,NA,NA,1
1,0.2,NA,NA,1
-1,0,NA,NA,-1
-1,0.1,NA,NA,-1
1,0,NA,NA,1
-1,0.1,NA,NA,-1
1,0.4,NA,NA,1
-1,0.1,NA,NA,-1
1,0.4,NA,NA,1
1,0.1,NA,NA,-1
-1,0,NA,NA,-1
-1,0.05,NA,NA,-1
-1,0.4,NA,NA,-1
1,0,NA,NA,-1
1,0.2,NA,NA,1
-1,0,NA,NA,1
-1,0.1,NA,NA,1
-1,0.1,NA,NA,-1
1,0,NA,NA,-1
-1,0,NA,NA,-1
1,0,NA,NA,1
-1,0.1,NA,NA,-1
-1,0.4,NA,NA,-1
1,0,NA,NA,1
-1,0.1,NA,NA,1
-1,0.4,NA,NA,-1
-1,0.2,NA,NA,-1
1,0,NA,NA,1
1,0.2,NA,NA,1
1,0,NA,NA,-1
1,0.1,NA,NA,1
-1,0.2,NA,NA,-1
1,0.05,NA,NA,1
1,0.05,NA,NA,-1
1,0.4,NA,NA,1
-1,0.4,NA,NA,-1
-1,0.4,NA,NA,-1
-1,0.1,NA,NA,-1
-1,0.2,NA,NA,-1
1,0.4,NA,NA,1
-1,0.4,NA,NA,-1
1,0.4,NA,NA,1
1,0,NA,NA,-1
-1,0.1,NA,NA,-1
1,0.4,NA,NA,1
-1,0.4,NA,NA,-1
1,0,NA,NA,-1
-1,0.4,NA,NA,-1
-1,0.05,NA,NA,-1
1,0,NA,NA,-1
-1,0.4,NA,NA,-1
-1,0.2,NA,NA,-1
1,0.2,NA,NA,1
1,0.05,NA,NA,-1
1,0.2,NA,NA,1
-1,0.1,NA,NA,-1
1,0.1,NA,NA,1
-1,0.05,NA,NA,-1
-1,0.2,NA,NA,-1
-1,0,NA,NA,-1
-1,0.2,NA,NA,-1
-1,0.4,NA,NA,-1
-1,0,NA,NA,1
-1,0,NA,NA,-1
1,0.2,NA,NA,1
-1,0.05,NA,NA,-1
-1,0,NA,NA,1
1,0.4,NA,NA,1
1,0.2,NA,NA,1
-1,0,NA,NA,1
1,0.2,NA,NA,1
1,0.2,NA,NA,1
1,0.05,NA,NA,1
-1,0.05,NA,NA,1
-1,0.4,NA,NA,-1
1,0.4,NA,NA,1
-1,0.4,NA,NA,-1
-1,0.2,NA,NA,-1
1,0.05,NA,NA,-1
-1,0,NA,NA,1
-1,0.05,NA,NA,1
1,0.4,NA,NA,1
-1,0,NA,NA,1
1,0.05,NA,NA,1
1,0,NA,NA,-1
1,0.05,NA,NA,-1
-1,0.4,NA,NA,-1
1,0.1,NA,NA,1
-1,0.05,NA,NA,1
